ResponseId,StartDate,Finished,Duration_secs,Role_code,Role_label,Role_original,Tools_text,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_usage,Q22_openness_self,Q23_positive_effect,Q24_team_openness,Q25_difficulty,BirthYear,Age_2022,YrsAtOrigin,YrsInEnergy,Education_code,Education_ordinal,Education_label,Gender_code,Gender_label,domain_Data_Analytics,domain_Comm_Collab,domain_Safety_Security,domain_Ethics_Responsibility,domain_Digital_Innovation,domain_Coding
R_1OThaWKLiAH88hK,2022-11-15,1,456,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",1.0,6.0,5.0,5.0,6.0,4.0,6.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,1.0,2.0,5.0,4.0,3.0,3.0,1991,31,7.0,8.0,3,4,Master's,1,Male,4.25,4.75,2.6667,3.3333,3.6667,1.0
R_2TAio5tk1ifCPj5,2022-11-15,1,670,4,Corporate,Corporate,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",2.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,5.0,5.0,3.0,4.0,1978,44,8.0,8.0,3,4,Master's,1,Male,2.75,4.75,4.6667,4.0,4.6667,2.0
R_3KTu60cYbBpUxEU,2022-11-15,1,342,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",2.0,3.0,3.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,1988,34,6.0,11.0,3,4,Master's,2,Female,2.75,2.75,3.6667,2.3333,1.6667,1.0
R_1M56nh3Tqfu7xYS,2022-11-15,1,576,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",2.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1987,35,5.0,7.0,2,3,Bachelor's,2,Female,4.0,4.25,4.0,3.6667,3.6667,2.0
R_3fMFqO1blLSigBj,2022-11-15,1,799,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,,,8.0,20.0,7,2,Trade/professional cert,4,Prefer not to say,1.0,2.25,4.0,2.6667,1.3333,1.0
R_2f8yIza8Nq1gBDG,2022-11-15,1,497,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,Other",3.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,6.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,1983,39,5.0,13.0,2,3,Bachelor's,2,Female,3.5,3.75,4.6667,3.3333,3.0,2.0
R_s5OImZTTXOK0a65,2022-11-15,1,387,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,1977,45,1.0,15.0,7,2,Trade/professional cert,1,Male,3.5,2.75,5.0,3.3333,2.3333,1.0
R_roSiqvTL90swX8B,2022-11-15,1,947,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire",3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1980,42,9.0,17.0,2,3,Bachelor's,1,Male,3.25,3.0,3.3333,2.3333,2.6667,2.0
R_3nu4fuBl7sAl8zN,2022-11-15,1,341,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT),Other",3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,1984,38,8.0,13.0,2,3,Bachelor's,2,Female,3.25,3.25,4.0,4.0,4.0,1.0
R_12bWpdcHTTzKnQv,2022-11-15,1,934,6,Graduate,Graduate,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,1995,27,,2.0,3,4,Master's,2,Female,3.25,3.25,3.0,2.6667,2.3333,2.0
R_9nLqmVCSUkvTGh3,2022-11-15,1,959,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Python or R,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,1994,28,4.0,4.0,2,3,Bachelor's,2,Female,4.25,4.5,3.0,3.0,3.0,5.0
R_2dW8PY5u3jEsOFP,2022-11-15,1,629,6,Graduate,Corporate,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",2.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,5.0,3.0,4.0,1987,35,1.0,1.0,2,3,Bachelor's,2,Female,3.75,3.25,2.0,1.6667,1.6667,1.0
R_3n2wU8lKS0Avxgf,2022-11-15,1,385,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1993,29,3.0,5.0,2,3,Bachelor's,2,Female,5.0,5.0,3.6667,2.3333,4.0,3.0
R_w7NE5JWwmOBW5vH,2022-11-15,1,557,4,Corporate,Corporate,"Microsoft Excel, Word, or PowerPoint,Other",3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,,,18.0,30.0,5,,Other,1,Male,2.75,3.25,3.0,2.3333,1.3333,1.0
R_1fkCTmol1PMvvf8,2022-11-15,1,381,6,Graduate,Field Operations,"Microsoft Excel, Word, or PowerPoint,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",1.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,1966,56,,1.0,1,1,High school,2,Female,2.75,3.0,4.0,2.3333,2.3333,1.0
R_3HGNwh7gVWor9iQ,2022-11-15,1,432,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint",2.0,2.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,,1.0,2.0,2.0,3.0,1.0,2.0,,,12.0,12.0,2,3,Bachelor's,1,Male,3.0,4.25,3.3333,3.3333,2.5,1.0
R_2TyZYJyvaXvBTMl,2022-11-15,1,543,6,Graduate,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",1.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,4.0,5.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,2.0,3.0,1999,23,3.0,3.0,7,2,Trade/professional cert,2,Female,2.5,2.0,4.3333,2.6667,1.3333,1.0
R_1mKuQoJDeI5XMyu,2022-11-15,1,615,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,1986,36,15.0,15.0,2,3,Bachelor's,2,Female,3.25,2.75,2.3333,2.0,2.3333,2.0
R_11Z1T89aUOCEDyN,2022-11-15,1,730,6,Graduate,Other,"Microsoft Excel, Word, or PowerPoint,Other",2.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,,1970,52,0.333,2.0,7,2,Trade/professional cert,1,Male,2.75,3.5,4.0,2.3333,2.0,2.0
R_33atXs1Qyq3pEkQ,2022-11-15,1,640,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",1.0,5.0,6.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,6.0,1.0,4.0,5.0,5.0,2.0,1.0,5.0,4.0,4.0,2.0,3.0,1977,45,4.0,25.0,2,3,Bachelor's,2,Female,4.25,4.0,5.0,3.6667,4.0,1.0
R_2dzIEMK1yGbhKiL,2022-11-15,1,976,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,3.0,5.0,6.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,5.0,5.0,3.0,3.0,1982,40,6.0,6.0,2,3,Bachelor's,1,Male,4.25,5.0,4.0,2.3333,2.0,2.0
R_AHxemJvwQEcO0GB,2022-11-15,1,671,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",2.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,5.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,1980,42,13.0,18.0,2,3,Bachelor's,1,Male,3.0,3.75,2.6667,2.3333,3.6667,2.0
R_25FKyP8RvBivT0s,2022-11-15,1,1245,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",1.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,4.0,1975,47,8.0,8.0,3,4,Master's,1,Male,2.0,1.75,3.6667,2.3333,1.0,1.0
R_43eYkmlrofu0I9z,2022-11-15,1,292,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0,1984,38,0.167,20.0,7,2,Trade/professional cert,1,Male,5.75,5.75,4.6667,3.0,4.3333,3.0
R_1FDoE46VRqN3ggn,2022-11-15,1,418,6,Graduate,Graduate,"Microsoft Excel, Word, or PowerPoint,Python or R,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",3.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,,,0.5,0.5,4,5,Doctoral,2,Female,2.75,2.5,2.3333,2.0,3.0,5.0
R_1jP2vwVlDm42EWG,2022-11-15,1,500,4,Corporate,Corporate,"Microsoft Excel, Word, or PowerPoint",2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,6.0,2.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,1982,40,11.0,13.0,2,3,Bachelor's,2,Female,4.0,4.25,4.0,3.6667,3.6667,1.0
R_1Lu833vO4EVDCZy,2022-11-15,1,302,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",2.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,6.0,6.0,4.0,6.0,3.0,4.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,1966,56,9.0,9.0,2,3,Bachelor's,2,Female,3.25,4.0,5.3333,4.3333,3.6667,1.0
R_3HTvgWsC7UTsTuu,2022-11-15,1,550,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint",1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,2.0,1970,52,0.5,15.0,7,2,Trade/professional cert,1,Male,2.5,2.5,3.6667,2.3333,1.3333,1.0
R_31Aaw4CcgQsM6Xy,2022-11-15,1,606,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",4.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,2.0,3.0,1976,46,3.5,25.0,4,5,Doctoral,2,Female,4.5,3.75,4.6667,4.6667,2.6667,2.0
R_27yuhEyeaiH0hqe,2022-11-15,1,488,7,Other,Other,"Microsoft Excel, Word, or PowerPoint",4.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,1973,49,8.0,15.0,3,4,Master's,2,Female,3.75,3.0,4.3333,3.6667,2.0,1.0
R_3O8EQFd0rSj6ucd,2022-11-15,1,1447,7,Other,Other,"Microsoft Excel, Word, or PowerPoint",1.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,,1971,51,2.5,25.0,3,4,Master's,2,Female,2.75,2.25,2.0,2.3333,1.3333,1.0
R_3DiKKefcC0fvLx9,2022-11-15,1,997,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,1979,43,3.0,11.0,3,4,Master's,2,Female,5.0,4.0,4.6667,4.3333,4.6667,2.0
R_1jAHWG1KbA2I4UU,2022-11-15,1,299,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",4.0,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,1992,30,1.0,8.0,2,3,Bachelor's,1,Male,4.75,4.6667,4.3333,4.3333,5.0,5.0
R_1jfd2iXmPIxPdfx,2022-11-15,1,250,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint",1.0,3.0,3.0,,3.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,1.0,1981,41,11.0,11.0,3,4,Master's,2,Female,2.3333,2.75,4.3333,2.3333,2.0,1.0
R_30eQ95zmqToNy9e,2022-11-15,1,929,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,Other",1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,4.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,1987,35,7.0,9.0,2,3,Bachelor's,2,Female,1.5,1.75,4.0,2.6667,1.3333,1.0
R_1jwH6jC3Bkp3DaN,2022-11-15,1,1702,2,Engineer,Engineer,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",2.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1977,45,11.0,21.0,2,3,Bachelor's,1,Male,3.5,3.5,3.3333,2.0,1.6667,2.0
R_By7WrrStywu7Edj,2022-11-15,1,284,3,Commercial,Commercial,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",4.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,1976,46,11.0,11.0,2,3,Bachelor's,2,Female,2.0,2.25,5.0,2.3333,1.6667,2.0
R_bkifDBeeAuPMcyB,2022-11-15,1,2237,7,Other,Other,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,5.0,4.0,2.0,3.0,1974,48,9.5,11.5,7,2,Trade/professional cert,1,Male,3.0,2.5,3.0,2.6667,2.0,1.0
R_3NChJORc4FzJG8c,2022-11-15,1,940,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,MyDay, Tableau, PI Vision, or Spotfire,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,1985,37,5.0,10.0,7,2,Trade/professional cert,1,Male,1.75,2.25,3.3333,2.3333,1.3333,1.0
R_3efXjGhigs33wZY,2022-11-15,1,304,1,Field Operations,Field Operations,"Microsoft Excel, Word, or PowerPoint,Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT),Other",4.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,,,,,2,3,Bachelor's,4,Prefer not to say,5.0,4.75,5.0,5.6667,5.0,4.0
R_XhaaU8wNDietzB7,2022-11-15,1,1078,6,Graduate,Corporate,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Internal business applications (e.g., DIMO, MyDay, WPA, Turndown Tool, or WIT)",1.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,1991,31,1.0,1.0,2,3,Bachelor's,2,Female,2.75,3.25,4.0,3.0,3.0,2.0
R_scenQm6KP22DBmN,2022-11-15,1,463,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,Python or R,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView),Other",4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,3.0,1975,47,8.0,17.0,5,,Other,1,Male,4.5,4.75,4.0,3.0,4.3333,6.0
R_2UYIkYrjf1r3cLz,2022-11-15,1,1089,5,Digital/Data/Technology,Digital/Data/Technology,"Microsoft Excel, Word, or PowerPoint,Business databases (e.g., PI, IDH, EDH, SAP, dbMap, or WellView)",3.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1964,58,5.0,35.0,5,,Other,1,Male,5.0,5.0,4.0,3.3333,4.0,3.0
R_1MRnFRofUyP1O77,2022-11-15,1,467,7,Other,Other,Other,1.0,3.0,4.0,5.0,3.0,4.0,3.0,1.0,2.0,4.0,3.0,4.0,2.0,6.0,2.0,6.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,1968,54,14.0,28.0,4,5,Doctoral,1,Male,3.25,2.75,3.0,4.0,3.0,3.0
